190304 131340.735|CONFIG|Thread-5|setFileHandlers|Now logging to E:\_CTDLGT_D17\Luyentap\Contest3\Contest3\pc2Client\bin\logs directory.
190304 131448.048|INFO|Thread-15|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3600 JUDGED 4358 min 261493467ms from TEAM450 @ site 1 id Run-59440022497985186 problem P--6824041254768084554 lang C/C++--2653330288382123202
190304 131448.048|INFO|Thread-15|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE4 @ site 1 judgement Yes-8028836472540142573 id JudgementRecord-3012105397713762286
190304 131449.078|INFO|Thread-15|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 3600 JUDGED 4358 min 261493467ms from TEAM450 @ site 1 id Run-59440022497985186 problem P--6824041254768084554 lang C/C++--2653330288382123202; runFiles=null
190304 131449.078|INFO|Thread-15|runChanged|Event not for me: sent to null but my ID is TEAM450 @ site 1
190304 131449.078|INFO|Thread-15|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #38850 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131456.795|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Q C/C++ file: C:\Users\Manh Son\Desktop\QHD\Q.cpp
190304 131456.795|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #5 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131456.795|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #5 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131458.840|INFO|Thread-17|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #38852 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131458.841|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38852, o#38852 ) recieveObject
190304 131458.841|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131458.841|INFO|Thread-17|dumpPacket|    To: TEAM450 @ site 1
190304 131458.841|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3601 QUEUED_FOR_COMPUTER_JUDGEMENT 4358 min 261511649ms from TEAM450 @ site 1 id Run-7517255367208236443 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131458.841|INFO|Thread-17|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #38852 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131458.842|INFO|Thread-17|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38852, o#38852 ) handlePacket
190304 131458.842|INFO|Thread-17|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131458.842|INFO|Thread-17|dumpPacket|    To: TEAM450 @ site 1
190304 131458.842|INFO|Thread-17|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3601 QUEUED_FOR_COMPUTER_JUDGEMENT 4358 min 261511649ms from TEAM450 @ site 1 id Run-7517255367208236443 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131500.097|INFO|Thread-17|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #38852 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131506.483|INFO|Thread-18|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #38857 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131506.483|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #38857, o#38857 ) recieveObject
190304 131506.483|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131506.484|INFO|Thread-18|dumpPacket|    To: TEAM450 @ site 1
190304 131506.484|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131506.485|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3601 JUDGED 4358 min 261511649ms from TEAM450 @ site 1 id Run-7517255367208236443 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131506.485|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE4 @ site 1 judgement No_-_Wrong_Answer--1606628354949906621 id JudgementRecord-4961218357136017975
190304 131506.486|INFO|Thread-18|info|handlePacket start Packet[RUN_JUDGEMENT] #38857 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131506.487|INFO|Thread-18|dumpPacket|Packet RUN_JUDGEMENT (Seq #38857, o#38857 ) handlePacket
190304 131506.488|INFO|Thread-18|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131506.488|INFO|Thread-18|dumpPacket|    To: TEAM450 @ site 1
190304 131506.488|INFO|Thread-18|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131506.488|INFO|Thread-18|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3601 JUDGED 4358 min 261511649ms from TEAM450 @ site 1 id Run-7517255367208236443 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131506.488|INFO|Thread-18|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE4 @ site 1 judgement No_-_Wrong_Answer--1606628354949906621 id JudgementRecord-4961218357136017975
190304 131508.175|INFO|Thread-18|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 3601 JUDGED 4358 min 261511649ms from TEAM450 @ site 1 id Run-7517255367208236443 problem Q--7240274554530768864 lang C/C++--2653330288382123202; runFiles=null
190304 131508.175|INFO|Thread-18|runChanged|Event not for me: sent to null but my ID is TEAM450 @ site 1
190304 131508.190|INFO|Thread-18|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #38857 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131611.470|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for Q C/C++ file: C:\Users\Manh Son\Desktop\QHD\Q.cpp
190304 131611.470|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #6 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131611.470|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #6 TEAM450 @ site 1 -> SERVER0 @ site 1
190304 131613.430|INFO|Thread-20|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #38860 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131613.430|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38860, o#38860 ) recieveObject
190304 131613.430|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131613.430|INFO|Thread-20|dumpPacket|    To: TEAM450 @ site 1
190304 131613.430|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3602 QUEUED_FOR_COMPUTER_JUDGEMENT 4359 min 261586295ms from TEAM450 @ site 1 id Run--4284275942301956612 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131613.430|INFO|Thread-20|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #38860 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131613.430|INFO|Thread-20|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #38860, o#38860 ) handlePacket
190304 131613.430|INFO|Thread-20|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131613.430|INFO|Thread-20|dumpPacket|    To: TEAM450 @ site 1
190304 131613.430|INFO|Thread-20|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3602 QUEUED_FOR_COMPUTER_JUDGEMENT 4359 min 261586295ms from TEAM450 @ site 1 id Run--4284275942301956612 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131620.789|INFO|Thread-21|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #38867 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131620.789|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #38867, o#38867 ) recieveObject
190304 131620.789|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131620.789|INFO|Thread-21|dumpPacket|    To: TEAM450 @ site 1
190304 131620.789|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131620.789|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3602 JUDGED 4359 min 261586295ms from TEAM450 @ site 1 id Run--4284275942301956612 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131620.789|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Compilation_Error-4712972653103978018 id JudgementRecord--6232386202236803136
190304 131620.789|INFO|Thread-21|info|handlePacket start Packet[RUN_JUDGEMENT] #38867 SERVER0 @ site 1 -> TEAM450 @ site 1
190304 131620.789|INFO|Thread-21|dumpPacket|Packet RUN_JUDGEMENT (Seq #38867, o#38867 ) handlePacket
190304 131620.804|INFO|Thread-21|dumpPacket|  From: SERVER0 @ site 1, oSERVER0 @ site 1 (99-HN-KhoaCNTT-ACM1 @ 10.99.3.97) (Contest Id: Default--6300287603622831513)
190304 131620.804|INFO|Thread-21|dumpPacket|    To: TEAM450 @ site 1
190304 131620.804|INFO|Thread-21|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
190304 131620.804|INFO|Thread-21|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 3602 JUDGED 4359 min 261586295ms from TEAM450 @ site 1 id Run--4284275942301956612 problem Q--7240274554530768864 lang C/C++--2653330288382123202
190304 131620.804|INFO|Thread-21|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord No by JUDGE1 @ site 1 judgement No_-_Compilation_Error-4712972653103978018 id JudgementRecord--6232386202236803136
190304 131621.802|INFO|Thread-21|runChanged|RunsPane.RunListener: Action=CHANGED; DetailedAction=null; msg=null; run=Run 3602 JUDGED 4359 min 261586295ms from TEAM450 @ site 1 id Run--4284275942301956612 problem Q--7240274554530768864 lang C/C++--2653330288382123202; runFiles=null
190304 131621.802|INFO|Thread-21|runChanged|Event not for me: sent to null but my ID is TEAM450 @ site 1
190304 131621.802|INFO|Thread-21|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #38867 SERVER0 @ site 1 -> TEAM450 @ site 1
